Name,Degree,Location,City,Consult Fee,Years of Experience,Speciality,Availability,Doctor
Dr. Saran Gill,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",Phase 10,Mohali,â‚¹300,16,"Orthodontist, Dentofacial Orthopedist, Cosmetic/Aesthetic Dentist",05:00-07:12,Endocrinologist
Dr. Ravi Kant Behl,"MBBS, MD - Medicine",Phase-VI,Mohali,â‚¹1300,38,General Physician,03:00-05:00,Gastroenterologist
Dr. Saran Gill,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",Phase 10,Mohali,â‚¹300,16,"Orthodontist, Dentofacial Orthopedist, Cosmetic/Aesthetic Dentist",03:00-05:01,Gastroenterologist
Dr. Emmy Grewal,"DM - Endocrinology, MD - Medicine, MBBS",Phase-VI,Mohali,â‚¹1100,25,Endocrinologist,03:00-05:02,Gastroenterologist
Dr. Vikram Lahoria,"MD - Dermatology , Venereology & Leprosy, MBBS",Phase-VI,Mohali,â‚¹600,12,"Dermatologist, Aesthetic Dermatologist, Cosmetologist",03:00-05:03,Gastroenterologist 
Dr. Sachin Goyal,"BDS, MDS - Periodontics",Sector 60,Mohali,â‚¹300,19,"Periodontist, Cosmetic/Aesthetic Dentist, Implantologist, Dentist",03:00-05:04,Gastroenterologist
Dr. Navkaran Singh Sandhu,MBBS,Sohana,Mohali,â‚¹1000,13,General Physician,03:00-05:05,Gynecologist
Dr. Manmohan Singh Bedi,"MBBS, MS - General Surgery, DNB - Surgical Gastroenterology",Phase-VI,Mohali,â‚¹1200,30,"GastroIntestinal Surgeon, Bariatric Surgeon, Gastroenterologist",03:00-05:06,Hepatologist
Dr. Gaurav Malik,"BDS, MDS - Periodontology and Oral Implantology",Phase-VI,Mohali,â‚¹900,21,"Dentist, Periodontist, Implantologist, Cosmetic/Aesthetic Dentist",03:00-05:07,Hepatologist
Dr. Navkaran Singh Sandhu,MBBS,Sohana,Mohali,â‚¹1000,13,General Physician,03:00-05:08,hepatologist
Dr. Aanchal Puri,"BDS, MDS - Oral Pathology and Oral Microbiology, Fellowship in Medical Cosmetology (FMC)",Rani Majra,Mohali,â‚¹800,t9,TherapistCosmetologist,03:00-05:09,Hepatologist
Dr. Simranjeet Kaur,MPTh/MPT - Cardiovascular & Pulmonary Physiotherapy,Phase 10,Mohali,â‚¹450,11,TherapistPhysiotherapist,03:00-05:10,Hepatologist
Dr. Ajaysingh Avtar Bhambri,"MBBS, DNB - Orthopedics/Orthopedic Surgery",Phase-VI,Mohali,â‚¹900,28,Orthopedic surgeon,03:00-05:11,Hepatologist
Dr. Shikha Verma,"DNB - Dermatology & Venereology, MD - Dermatology , Venereology & Leprosy, MBBS",Sector- 69,Mohali,â‚¹600,28,"Dermatologist, Venereologist, Aesthetic Dermatologist",03:00-05:12,Hepatologist
Dr. Gurbakhshish Singh Sidhu,"MBBS, DM - Gastroenterology",Phase-VI,Mohali,â‚¹900,23,Gastroenterologist,04:00-06:00,Internal Medcine
Dr. Manish Singla,"MBBS, DM - Nephrology",Phase-VI,Mohali,â‚¹1200,16,Nephrologist/Renal Specialist,04:00-06:01,Internal Medcine
Dr. Ravi Kant Behl,"MBBS, MD - Medicine",Phase-VI,Mohali,â‚¹1300,38,General Physician,04:00-06:02,Neurologist
Dr. Sandeep Parekh,"MBBS, MD - General Medicine, DNB - Cardiology, MNAMS - Cardiology",Phase-VI,Mohali,â‚¹1200,16,"Cardiologist, General Physician",04:00-06:03,Neurologist
Dr. Ankur Vats,"MDS - Conservative Dentistry & Endodontics, BDS",Kharar,Mohali,â‚¹500,17,"Endodontist, Implantologist, Dentist",04:00-06:04,Neurologist
Dr. Sartaaj Singh Buttar,"MBBS, MS - ENT",Phase-VI,Mohali,â‚¹700,22,ENT/ Otorhinolaryngologist,04:00-06:05,Osteopathic
Dr. Anupam Goel,MS - General Surgery,Phase-VI,Mohali,â‚¹1000,t8,"Laparoscopic Surgeon, Bariatric Surgeon, General Surgeon, Proctologist",04:00-06:06,Otolaryngologist
Dr. Vijaya Gupta,"MBBS, MS - Obstetrics & Gynaecology",Phase 10,Mohali,â‚¹500,21,"Gynecologist, Obstetrician",04:00-06:07,Otolaryngologist
Dr. Deepak Puri,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",Phase-VI,Mohali,â‚¹1300,36,Cardiac Surgeon,04:00-06:08,Pediatrician
Dr. Sudha Gupta,"BDS, MDS - Prosthodontics",Sector- 69,Mohali,â‚¹300,11,"Cosmetic/Aesthetic Dentist, Implantologist, Dental Surgeon",04:00-06:09,Phlebologist
Dr. Manu Sharma,"MD - Pediatrics, MBBS",Phase-VI,Mohali,â‚¹900,12,Pediatrician,04:00-06:10,Pulmonologist
Dr. Pankaj Kumar,"MBBS, MD - Radiotherapy",Phase-VI,Mohali,â‚¹1100,23,Radiation Oncologist,04:00-06:11,Pulmonologist
Dr. Chandandeep Singh Sandhu,MBBS,Sector-61,Mohali,â‚¹1000,20,"General Physician, Sexologist",04:00-06:12,Rheumatologists
Dr. Garima Goyal,"BDS, MDS - Orthodontics",Sector 60,Mohali,â‚¹300,19,"Orthodontist, Dentofacial Orthopedist, Dentist, Dental Surgeon",04:00-06:13,Rheumatologists
Dr. Priyanka Goyal,"BDS, MDS - Paedodontics And Preventive Dentistry",Phase 10,Mohali,â‚¹300,14,"Dentist, Pediatric Dentist",04:00-06:14,Tuberculosis
Dr. Jasmeet Singh,"MBBS, DNB - General Medicine",Sector- 68,Mohali,â‚¹500,22,"Internal Medicine, General Physician, Consultant Physician",04:00-06:15,Allergist
Dr. Abhideep Chaudhary,"MBBS, MS - General Surgery",Phase-VI,Mohali,â‚¹1300,23,General Surgeon,04:00-06:16,Allergist
Dr. Kanwar Sidharth,"BDS, MDS - Conservative Dentistry & Endodontics",Phase 10,Mohali,â‚¹300,18,"Endodontist, Dental Surgeon, Dentist",04:00-06:17,Cardiologist
Dr. Sajal Kakkar,"MBBS, MD - Radiotherapy",Phase-VI,Mohali,â‚¹1100,20,Radiation Oncologist,04:00-06:18,Cardiologist
Dr. Ashish Gupta,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Phase-VI,Mohali,â‚¹900,26,Neurosurgeon,04:00-06:19,Dermatologist
Dr. Anjali Shrivastava Vats,"MDS - Conservative Dentistry & Endodontics, BDS",Kharar,Mohali,â‚¹500,17,"Endodontist, Implantologist",04:00-06:20,Dermatologist
Dr. Harbans Bansal,"MBBS, MS - General Surgery, MCh - Urology",Phase 10,Mohali,â‚¹500,13,Urologist,04:00-06:21,Dermatologist
Dr. Karan Dhawan,"MBBS, M.D. (Psychiatry)",Sector- 73,Mohali,â‚¹1000,10,Psychiatrist,04:00-06:22,Dermatologist
Dr. Kamna Nagpal,"MBBS, DGO, MD - Obstetrics & Gynaecology",Phase-VI,Mohali,â‚¹900,29,"Obstetrician, Gynecologist",04:00-06:23,Dermatologist
Dr. Rashmi Pandove,"MBBS, MD - Pediatrics",Phase-VI,Mohali,â‚¹1100,19,Pediatrician,04:00-06:24,Endocrinologist
Dr. Sandeep Parekh,"MBBS, MD - General Medicine, DNB - Cardiology, MNAMS - Cardiology",Phase-VI,Mohali,â‚¹1200,16,"Cardiologist, General Physician",04:00-06:25,Endocrinologist
Dr. Garima Goyal,"BDS, MDS - Orthodontics",Sector 60,Mohali,â‚¹300,19,"Orthodontist, Dentofacial Orthopedist, Dentist, Dental Surgeon",02:00-05:00,Endocrinologist
Dr. Narendar Mohan Gupta,"MBBS, MS - General Surgery",Phase-VI,Mohali,â‚¹1200,60,General Surgeon,02:00-05:01,Endocrinologist
Dr. Deepak Bhasin,"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",Phase-VI,Mohali,â‚¹1300,28,Tuberculous and chest Diseases Specialist,02:00-05:02,Gastroenterologist
Dr. Chandandeep Singh Sandhu,MBBS,Sector-61,Mohali,â‚¹1000,20,"General Physician, Sexologist",02:00-05:03,Gastroenterologist
Dr. Nikhil Anil Nadkarni,"MBBS, MD - Medicine, DM - Gastroenterology",Phase-VI,Mohali,â‚¹1300,25,Gastroenterologist,02:00-05:04,Gastroenterologist
Dr. Sunil Gupta,"MBBS, M.D. (Psychiatry)",Sector 55,Mohali,â‚¹1200,17,"Psychiatrist, Addiction Psychiatrist, Psychotherapist",02:00-05:05,Gastroenterologist 
Dr. Sanjay Kumar Mishra,"MBBS, MD - Medicine, DM - Neurology",Phase-VI,Mohali,â‚¹1300,26,Neurologist,02:00-05:06,Gastroenterologist
Dr. Bhupinder Pal,"BDS, MDS - Prosthodontist And Crown Bridge",Phase 10,Mohali,â‚¹300,14,"Dental Surgeon, Implantologist, Prosthodontist",02:00-05:07,Gynecologist
Dr. Atul Sachdev,"MBBS, MD - Medicine, DM - Gastroenterology",Phase-VI,Mohali,â‚¹1300,38,Gastroenterologist,02:00-05:08,Hepatologist
Dr. Rishi Dhawan,"MBBS, MS - General Surgery, MCh - Plastic Surgery",Phase-VI,Mohali,â‚¹1000,16,"Plastic Surgeon, Cosmetologist",02:00-05:09,Hepatologist
Dr. Arpinder Singh Gill,"MBBS, MD - Pediatrics",Phase-VI,Mohali,â‚¹1300,31,Pediatrician,02:00-05:10,hepatologist
Dr. Sannidhya Varma,"M.D. (Psychiatry), MBBS",Phase-VI,Mohali,â‚¹1200,18,"Psychiatrist, Addiction Psychiatrist",02:00-05:11,Hepatologist
Dr. Jagdish Sethi,"MBBS, MS - General Surgery",Phase-VI,Mohali,â‚¹1100,18,General Surgeon,02:00-05:12,Hepatologist
Dr. Savita,"MD - Pediatrics, MBBS",Sector - 70,Mohali,â‚¹500,13,Pediatrician,02:00-05:13,Hepatologist
Dr. Abhay Kalra,"MBBS, MS - General Surgery, MCh - Urology",Phase-VI,Mohali,â‚¹900,18,"Urologist, Andrologist",02:00-05:14,Hepatologist
Dr. Sachin Goyal,"BDS, MDS - Periodontics",Sector 60,Mohali,â‚¹300,19,"Periodontist, Cosmetic/Aesthetic Dentist, Implantologist, Dentist",02:00-05:15,Internal Medcine
Dr. Jibin Babu,"M.D. (Psychiatry), MBBS",Kharar,Mohali,â‚¹400,11,Psychiatrist,02:00-05:16,Internal Medcine
Dr. Harpreet Kaur Sidhu,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, FNB - Reproductive Medicine, MRCOG(UK)",Phase-VI,Mohali,â‚¹700,19,"Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn), Gynecologist",02:00-05:17,Neurologist
Dr. Surya Kant Mathur,"MBBS, MD - Pediatrics, DM - Endocrinology",Phase-VI,Mohali,â‚¹1200,42,Endocrinologist,02:00-05:18,Neurologist
Dr. Saurabh Kapoor,"MBBS, DNB - Paediatrics",Phase-VI,Mohali,â‚¹900,n9,Pediatrician,02:00-05:19,Neurologist
Dr. Akanksha Sharda,"MDS - Prosthodontist And Crown Bridge, BDS",Phase 10,Mohali,â‚¹300,13,"Implantologist, Prosthodontist, Dentist",02:00-05:20,Osteopathic
Dr. Amandeep Singh Sandhu,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",Phase-VI,Mohali,â‚¹1000,16,"Laparoscopic Surgeon, GastroIntestinal Surgeon",02:00-05:21,Otolaryngologist
Dr. Arjun Dass,"MBBS, DNB - Otorhinolaryngology, MS - ENT",Phase-VI,Mohali,â‚¹1300,42,ENT/ Otorhinolaryngologist,02:00-05:22,Otolaryngologist
Dr. Vijay Pal Singh,"MBBS, DNB - Urology/Genito - Urinary Surgery, MS - General Surgery",Kharar,Mohali,â‚¹500,12,Urologist,02:00-05:23,Pediatrician
Dr. Ankur Vats,"MDS - Conservative Dentistry & Endodontics, BDS",Kharar,Mohali,â‚¹500,17,"Endodontist, Implantologist, Dentist",02:00-05:24,Phlebologist
Dr. Timsi Gupta,"MDS - Conservative Dentistry & Endodontics, BDS",Phase 10,Mohali,â‚¹300,11,"Endodontist, Dentist",02:00-05:25,Pulmonologist
Dr. Komal Dhiman,BAMS,Sector- 85,Mohali,â‚¹500,a4,AYUSHAyurveda,02:00-05:26,Pulmonologist
Dr. Aditya Banta,"MBBS, MS - Orthopaedics, FNB - Spine Surgery, DNB - Orthopedics/Orthopedic Surgery",Phase-VI,Mohali,â‚¹900,t9,"Spine Surgeon (Ortho), Orthopedic surgeon, Spine And Pain Specialist",02:00-05:27,Rheumatologists
Dr. Suman Reddy,"BDS, MSc - Master of Oral Implantology (MOI), Fellowship and Diplomate in Implantology from ICOI (USA)",Kadubeesanahalli,Bangalore,â‚¹600,21,"Dentist, Cosmetic/Aesthetic Dentist, Implantologist",02:00-05:28,Rheumatologists
Dr. Kalpana Janardan,"MBBS, DNB - General Medicine",Bannerghatta Road,Bangalore,â‚¹850,25,Internal Medicine,02:00-05:29,Tuberculosis
Dr. Pramod Kumar Maurya   (Physiotherapist),BPTh/BPT,Domlur,Bangalore,â‚¹500,11,TherapistPhysiotherapist,02:00-05:30,Allergist
Dr. Raj. R,MD - Physician,Electronics City,Bangalore,â‚¹499,t1,TherapistSexologist,02:00-05:31,Allergist
Dr. Soumya KN,"MBBS, MS - Obstetrics & Gynaecology",Kengeri,Bangalore,â‚¹700,14,"Laparoscopic Surgeon (Obs & Gyn), Gynecologist",02:00-05:32,Cardiologist
Dr. Nida Shaik,BDS,Sahakaranagar,Bangalore,â‚¹300,10,Cosmetic/Aesthetic Dentist,01:00-04:00,Cardiologist
Dr. G Srividya Reddy,"MBBS, MS - Obstetrics & Gynaecology",Marathahalli,Bangalore,â‚¹900,13,"Obstetrician, Gynecologist",01:00-04:01,Dermatologist
Dr. Jayarami Reddy,MBBS,Electronics City,Bangalore,â‚¹600,11,General Physician,01:00-04:02,Dermatologist
Dr. Raghavendra R,"MBBS, DNB - Anaesthesia, MD - Anaesthesiology",Hebbal,Bangalore,â‚¹1000,23,"Pain Management Specialist, Anesthesiologist",01:00-04:03,Dermatologist
Dr. Mahendra K P,BDS,Banashankari 1st Stage,Bangalore,â‚¹300,23,Dentist,01:00-04:04,Dermatologist
Dr. Anusha Akilesh,"DDVL, MBBS",Sadashivanagar,Bangalore,â‚¹600,t9,"Dermatologist, Trichologist, Aesthetic Dermatologist, Hair Transplant Surgeon, Cosmetologist",01:00-04:05,Dermatologist
Dr. Sandeep Satsangi,"DM - Hepatology, MD - General Medicine, MBBS",Seshadripuram,Bangalore,â‚¹740,13,Hepatologist,01:00-04:06,Endocrinologist
Dr. Ranjitha G Babu,"MBBS, MS - Obstetrics & Gynaecology",Rajajinagar,Bangalore,â‚¹600,17,"Gynecologist, Obstetrician, Laparoscopic Surgeon (Obs & Gyn), Infertility Specialist",01:00-04:07,Endocrinologist
Dr. Aishwarya M,BDS,Jayanagar 9 Block,Bangalore,â‚¹300,15,"Dentist, Cosmetic/Aesthetic Dentist",01:00-04:08,Endocrinologist
Dr. Kavitha J,BDS,Bannerghatta Road,Bangalore,â‚¹300,27,"Dental Surgeon, Implantologist",01:00-04:09,Endocrinologist
Dr. Harshith N,"MBBS, MS - Orthopaedics",Yelahanka New Town,Bangalore,â‚¹600,n8,Orthopedic surgeon,01:00-04:10,Gastroenterologist
Dr. Joslen John,"MBBS, DDVL",Kalyan Nagar,Bangalore,â‚¹650,t5,Dermatologist,01:00-04:11,Gastroenterologist
Dr. Ananth G.,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Ashoknagar,Bangalore,â‚¹800,21,Neurosurgeon,01:00-04:12,Gastroenterologist
Dr. Priyanka JP,BHMS,JP Nagar,Bangalore,â‚¹300,h8,AYUSHHomoeopath,01:00-04:13,Gastroenterologist 
Dr. Aseel M   (Physiotherapist),BPTh/BPT,Indiranagar,Bangalore,â‚¹800,t5,TherapistPhysiotherapist,01:00-04:14,Gastroenterologist
Dr. Santhosh,"MBBS, MS - General Surgery, MCh - Neuro Surgery",Hebbal,Bangalore,â‚¹1000,16,Neurosurgeon,01:00-04:15,Gynecologist
Dr. Kumar Prabhu,"MBBS, MS - General Surgery, DNB - Urology/Genito - Urinary Surgery",Padmanabhanagar,Bangalore,â‚¹750,26,"Urologist, Urological Surgeon",01:00-04:16,Hepatologist
Dr. G R Chandra Sekhar   (Physiotherapist),BPTh/BPT,Padmanabhanagar,Bangalore,â‚¹450,18,TherapistPhysiotherapist,01:00-04:17,Hepatologist
Dr. Priti Venkatesh,"MBBS, MD - Obstetrics & Gynaecology, DGO",Old Airport Road,Bangalore,â‚¹900,39,"Infertility Specialist, Obstetrician, Gynecologist",01:00-04:18,hepatologist
Dr. Muralidhara KA,"M.D. (Psychiatry), MBBS",Vijayanagar,Bangalore,â‚¹800,10,"Psychiatrist, General Physician",01:00-04:19,Hepatologist
Dr. Poonam Prakash Kamble,"MBBS, Diploma in Child Health (DCH)",Whitefield,Bangalore,â‚¹850,15,Pediatrician,01:00-04:20,Hepatologist
Dr. Kishore Babu S,"MBBS, MD - Pediatrics, DNB - Nephrology",Old Airport Road,Bangalore,â‚¹1100,33,Nephrologist/Renal Specialist,01:00-04:21,Hepatologist
Dr. Sandhya Ghode,"MBBS, MS - Obstetrics & Gynaecology",Indiranagar,Bangalore,,10,"Gynecologist, Obstetrician",01:00-04:22,Hepatologist
Dr. Shivekshith A K,MDS - Conservative Dentistry & Endodontics,HSR Layout,Bangalore,â‚¹300,10,Endodontist,01:00-04:23,Internal Medcine
Dr. Krishna Shama Rao,"BDS, MDS - Oral & Maxillofacial Surgery, MBBS, FRCS - Oral and Maxillofacial Surgery, FDSRCS - Fellowship in Dental Surgery",Kengeri,Bangalore,â‚¹1000,43,"Craniofacial Surgeon, Oral And MaxilloFacial Surgeon",01:00-04:24,Internal Medcine
Dr. Shuba Walsalam,BHMS,Jayanagar 4 Block,Bangalore,â‚¹500,22,AYUSHHomoeopath,01:00-04:25,Neurologist
Dr. Udaybhaskar M,"MBBS, MS - General Surgery, MCh - Urology",Jayanagar 9 Block,Bangalore,â‚¹750,18,"Urologist, Andrologist, Urological Surgeon",01:00-04:26,Neurologist
Dr. Sanjeev Kumar Hiremath,"MBBS, MD - General Medicine, DM - Nephrology",Jayanagar,Bangalore,â‚¹800,26,Nephrologist/Renal Specialist,01:00-04:27,Neurologist
Dr. Kavitha K B,BDS,Sahakaranagar,Bangalore,â‚¹500,21,"Dentist, Cosmetic/Aesthetic Dentist",01:00-04:28,Osteopathic
Dr. Prity Bhagat Lohia,"BDS, MDS - Periodontics",BTM Layout 1st Stage,Bangalore,â‚¹400,13,"Dental Surgeon, Periodontist, Implantologist",01:00-04:29,Otolaryngologist
Dr. Anirban Chatterjee,"BDS, MDS - Periodontics",Jayanagar 9 Block,Bangalore,â‚¹500,30,"Dentist, Periodontist, Implantologist",01:00-04:30,Otolaryngologist
Ms. Nafeesa Imteyaz,MSc. - Dietetics & Food Service Management,Indiranagar,Bangalore,â‚¹1000,28,TherapistDietitian/Nutritionist,01:00-04:31,Pediatrician
Dr. Asha Praveena,"BDS, MDS - Periodontics",Kaggadasapura,Bangalore,â‚¹300,15,"Periodontist, Implantologist, Cosmetic/Aesthetic Dentist",01:00-04:32,Phlebologist
Dr. Nakul BK,BDS,HSR Layout,Bangalore,â‚¹500,7,"Dentist, Dental Surgeon",01:00-04:33,Pulmonologist
Dr. Kayal Vizhi N,"MBBS, DNB - General Medicine, DNB - Gastroenterology",Hebbal,Bangalore,â‚¹850,9,Gastroenterologist,01:00-04:34,Pulmonologist
Dr. Raghavendra Chikkatur,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery",Kengeri,Bangalore,â‚¹700,23,"Cardiothoracic Surgeon, Thoracic (Chest) Surgeon",01:00-04:35,Rheumatologists
Dr. Akshitha Ratnakara Shetty,"MBBS, MD - Dermatology , Venereology & Leprosy",Indiranagar,Bangalore,â‚¹600,14,"Dermatologist, Hair Transplant Surgeon, Aesthetic Dermatologist, Trichologist, Cosmetologist",01:00-04:36,Rheumatologists
Dr. Mansi Srivastava,BNYS,Indiranagar,Bangalore,â‚¹500,1,"AYUSHYoga and Naturopathy, Acupuncturist",01:00-04:37,Tuberculosis
Dr. Shwetha H P,"MBBS, DVD",Sarjapur Road,Bangalore,â‚¹650,11,Dermatologist,01:00-04:38,Allergist
Dr. Balakrishna S,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery, DNB - General Surgery",Millers Road,Bangalore,â‚¹1000,15,GastroIntestinal Surgeon,01:00-04:39,Allergist
Dr. Suhas Prabhakar,"BDS, MDS - Oral & Maxillofacial Surgery",Bannerghatta Road,Bangalore,â‚¹300,14,Oral And MaxilloFacial Surgeon,01:00-04:40,Cardiologist
Dr. Divya Prahlad,"BDS, MDS - Paedodontics And Preventive Dentistry",Indiranagar,Bangalore,â‚¹1000,15,"Pediatric Dentist, Dentist",01:00-04:41,Cardiologist
Dr. Parimala V Thirumalesh,"MBBS, MD - Pediatrics",Hebbal,Bangalore,â‚¹800,23,Pediatrician,01:00-04:42,Dermatologist
Dr. Supriya,"BDS, MDS - Prosthodontist And Crown Bridge",BTM Layout 1st Stage,Bangalore,â‚¹300,5,"Prosthodontist, Implantologist",01:00-04:43,Dermatologist
Dr. Chandni Gupta Menon,"BDS, MDS - Conservative Dentistry & Endodontics",Marathahalli,Bangalore,â‚¹200,7,"Endodontist, Cosmetic/Aesthetic Dentist, Conservative Dentist, Dentist",01:00-04:44,Dermatologist
Dr. Tallam Kartik Shrinivas,"MBBS, DNB - General Surgery, MCh - Plastic & Reconstructive Surgery",Whitefield,Bangalore,â‚¹850,20,Plastic Reconstruction Surgeon,01:00-04:45,Dermatologist
Dr. Vidyashankar P,"MBBS, DNB - Paediatrics, DM - Nephrology",Hebbal,Bangalore,â‚¹1000,21,Nephrologist/Renal Specialist,01:00-04:46,Dermatologist
Dr. Manoj Kumari,BDS,West Of Chord Road,Bangalore,â‚¹300,9,"Dentist, Dental Surgeon",12:00-04:00,Endocrinologist
Dr. Arun Kumar Rawal   (Physiotherapist),"BPTh/BPT, MPTh/MPT - Musculoskeletal Physiotherapy",Indiranagar,Bangalore,â‚¹1500,12,TherapistSports and Musculoskeletal Physiotherapist,12:00-04:01,Endocrinologist
Dr. Gopika Nair   (Physiotherapist),BPTh/BPT,Jigani,Bangalore,â‚¹400,3,"TherapistPhysiotherapist, Geriatric Physiotherapist",12:00-04:02,Endocrinologist
Dr. Abhijit Chavan,"DNB - Orthopedics/Orthopedic Surgery, MBBS",Whitefield,Bangalore,â‚¹850,19,Orthopedic surgeon,12:00-04:03,Endocrinologist
Ms. Kalpana Joshi,BSc - Speech & Hearing,Banashankari 2nd Stage,Bangalore,â‚¹500,30,TherapistAudiologist,12:00-04:04,Gastroenterologist
Dr. Sandeep R,"MBBS, MD - Pediatrics, DNB - Neonatology",Marathahalli,Bangalore,â‚¹950,12,"Neonatologist, Pediatrician",12:00-04:05,Gastroenterologist
Dr. Archishubhra Pal   (Physiotherapist),"BPTh/BPT, Masters of Physiotheraphy",Hennur,Bangalore,â‚¹550,17,TherapistPhysiotherapist,12:00-04:06,Gastroenterologist
Dr. Rajesh Srinivas,"MBBS, MS - Orthopaedics",Indiranagar,Bangalore,â‚¹700,12,Orthopedic surgeon,12:00-04:07,Gastroenterologist 
Dr. Madhuri Patil,"MD - Obstetrics & Gynaecology, Fellow of Indian College of Obstetrics and Gynecology (FICOG), MBBS, DGO",Bannerghatta Road,Bangalore,â‚¹1000,38,"Infertility Specialist, Reproductive Endocrinologist (Infertility), Gynecologist",12:00-04:08,Gastroenterologist
Dr. Supriya Dsilva,"MBBS, DPM (Psychiatry), DNB - Psychiatry",Sarjapur Road,Bangalore,â‚¹1050,t9,"Neuropsychiatrist, Psychiatrist",12:00-04:09,Gynecologist
Dr. Vijayendra R,"MDS - Periodontics, BDS, MDS",BTM Layout 2nd Stage,Bangalore,â‚¹400,48,"Periodontist, Dentist",12:00-04:10,Hepatologist
Dr. Kalpana S Hegde,"MBBS, DNB - Otorhinolaryngology",Yeshwanthpur,Bangalore,â‚¹750,24,ENT/ Otorhinolaryngologist,12:00-04:11,Hepatologist
Dr. Ranjani Rao,BDS,Electronics City,Bangalore,â‚¹500,25,"Dentist, Implantologist",12:00-04:12,hepatologist
Dr. Harish K V,"MBBS, MD - General Medicine",Millers Road,Bangalore,â‚¹1000,27,"General Physician, Internal Medicine",12:00-04:13,Hepatologist
Dr. Pinto Kiran,"MBBS, MD - Ophthalmology",Vijayanagar,Bangalore,â‚¹500,12,Ophthalmologist/ Eye Surgeon,12:00-04:14,Hepatologist
Dr. Megha Gupta,"MDS - Conservative Dentistry & Endodontics, BDS",Whitefield,Bangalore,â‚¹600,t9,Endodontist,12:00-04:15,Hepatologist
Ms. Roopali Das,MA - Psychology,Sarjapur Road,Bangalore,â‚¹1200,t5,TherapistCounselling Psychologist,12:00-04:16,Hepatologist
Dr. Aman Sodhi,"BDS, MDS - Oral Medicine and Radiology",Arekere,Bangalore,â‚¹300,21,"Dentist, Dental Surgeon, Cosmetic/Aesthetic Dentist",12:00-04:17,Internal Medcine
Dr. Jinu Clara,BDS,Hosur Road,Bangalore,â‚¹200,t8,Dentist,12:00-04:18,Internal Medcine
Dr. Tejas Suresh Rao,"MBBS, MD - General Medicine",Yeshwanthpur,Bangalore,â‚¹850,13,"General Physician, Internal Medicine, Special Interest in Diabetology",12:00-04:19,Neurologist
Dr. Sharon Abraham,"BDS, MDS",Sahakaranagar,Bangalore,â‚¹600,10,Dentist,12:00-04:20,Neurologist
Dr. Rajeev Pullagura,"MBBS, MS - General Surgery",Begur,Bangalore,â‚¹650,14,"General Surgeon, Laparoscopic Surgeon, Diabetic Foot Surgeon",12:00-04:21,Neurologist
